Date,Stream Flow,Ladder Flow,stream_meters,ladder_meters
4/14/2014,1.63,2.94,0.496799756,0.896068272
4/15/2014,1.76,2.84,0.536421823,0.865589759
4/15/2014,1.59,3.06,0.484608351,0.932642487
4/16/2014,1.92,3.24,0.585187443,0.98750381
4/17/2014,1.45,3.39,0.441938433,1.033221579
4/18/2014,2.31,3.28,0.704053642,0.999695215
4/21/2014,1.35,3.11,0.411459921,0.947881743
4/22/2014,0.87,3.13,0.26516306,0.953977446
4/23/2014,1.94,3.18,0.591283145,0.969216702
4/24/2014,,,,
4/25/2014,,,,
4/28/2014,2.19,3.93,0.667479427,1.197805547
4/29/2014,2.14,,0.652240171,
5/7/2014,,,,
5/8/2014,1.79,3.31,0.545565376,1.008838769
5/9/2014,2.02,3.08,0.615665956,0.93873819
5/12/2014,2.02,3.28,0.615665956,0.999695215
5/13/2014,1.82,3.09,0.55470893,0.941786041
5/14/2014,1.7,2.96,0.518134715,0.902163974
5/15/2014,1.74,3.26,0.53032612,0.993599512
5/19/2014,2.33,3.29,0.710149345,1.002743066
5/20/2014,1.55,3.3,0.472416946,1.005790917
5/21/2014,1.9,2.95,0.57909174,0.899116123
5/22/2014,1.97,3.08,0.600426699,0.93873819
4/8/2013,1.28,2.51,0.390124962,0.765010667
4/11/2013,0.72,,0.219445291,
4/15/2013,2.28,3.4,0.694910088,1.03626943
4/16/2013,1.74,2.43,0.53032612,0.740627857
4/17/2013,1.88,3.38,0.572996038,1.030173728
4/18/2013,1.62,3.14,0.493751905,0.957025297
4/19/2013,2.01,3.35,0.612618104,1.021030174
4/22/2013,1.89,3.46,0.576043889,1.054556538
4/23/2013,1.16,3.16,0.353550747,0.963121
4/24/2013,1.02,2.25,0.310880829,0.685766535
4/25/2013,1.13,2.96,0.344407193,0.902163974
4/26/2013,0.36,3.2,0.109722646,0.975312405
4/29/2013,1.93,2.89,0.588235294,0.880829016
4/30/2013,2.14,2.07,0.652240171,0.630905212
5/2/2013,1.66,2.85,0.50594331,0.86863761
5/3/2013,2.6,3.2,0.792441329,0.975312405
5/7/2013,2.27,2.95,0.691862237,0.899116123
5/9/2013,1.52,,0.463273392,
5/10/2013,2.21,3.26,0.67357513,0.993599512
